id=532
type=2,randStartPhase=0
numSounds=0
numSprites=15
numSlots=0
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 (0.000000,0.000000) 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 3.000000 0.000000 0.729167 1.000000 0.385417
offset=(0.000000,0.000000)
animParam=3.000000 10.000000 0.489583 0.000000 0.000000 0.000000 (0.000000,0.000000) 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=3.000000 10.000000 0.468750 0.000000 0.000000 0.000000 (0.000000,0.000000) 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 (0.000000,0.000000) 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 3.000000 0.000000 0.718750 1.000000 0.812500
offset=(0.000000,0.000000)
animParam=0.000000 4.000000 0.250000 3.000000 2.000000 0.791667 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.843750 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 3.000000 5.000000 0.833333 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 3.000000 5.000000 0.833333 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 4.000000 0.250000 3.000000 2.000000 0.791667 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.843750 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,13.000000)
animParam=0.000000 0.000000 0.000000 3.000000 13.000000 0.594000 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.010000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.010000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 3.000000 2.000000 0.833333 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 4.000000 0.250000 3.000000 2.000000 0.791667 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.239583 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 0.000000 0.000000 3.000000 2.000000 0.791667 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.843750 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,0.000000)
animParam=0.000000 4.000000 0.250000 3.000000 2.000000 0.791667 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.072917 0.843750 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
offset=(0.000000,6.000000)
animParam=0.000000 0.000000 0.000000 3.000000 6.000000 0.187500 (0.000000,0.000000) 0.000000 0.000000 3.000000 0.010000 0.000000 1.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000
